연번,"스테이션, 성명(Station)",위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명
13,삼천중학교(정문 맞은편),대전광역시 서구 둔산2동 911,36.3553129,127.3845828,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동
14,둔산 하이마트,대전광역시 서구 둔산2동 911,36.3553129,127.3845828,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동
15,둔산 홈플러스(법원 버스정류장),대전광역시 서구 둔산1동 1380-5,36.3526859,127.3899085,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동
16,국화아파트(501동),대전광역시 서구 둔산3동 1386,36.3525115,127.3988778,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동
17,타임월드,대전광역시 서구 둔산2동 1036,36.3553129,127.3845828,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동
18,대전시청,대전광역시 서구 둔산1동 1420,36.3526859,127.3899085,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동
19,현대아이텔(시청역 6번출구),대전광역시 서구 둔산1동 1457,36.3526859,127.3899085,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동
20,크로바아파트(정문 맞은편),대전광역시 서구 둔산1동 1554-1,36.350765,127.386527,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동
21,카이스트 학사식당,대전광역시 유성구 어은동 44,36.3734024,127.3588472,30,대전광역시,30200,유성구,3020012300,어은동,3020054000,온천2동
22,카이스트 창의학습관,대전광역시 유성구 구성동 23,36.36886,127.3638987,30,대전광역시,30200,유성구,3020012400,구성동,3020054000,온천2동
23,카이스트 정문,대전광역시 유성구 구성동 284-4,36.365377,127.363739,30,대전광역시,30200,유성구,3020012400,구성동,3020054000,온천2동
24,화폐박물관,대전광역시 유성구 가정동 35,36.3775441,127.3694228,30,대전광역시,30200,유성구,3020012600,가정동,3020055000,신성동
25,카이스트 후문,대전광역시 유성구 구성동 145,36.3711849,127.3677371,30,대전광역시,30200,유성구,3020012400,구성동,3020054000,온천2동
26,엑스포과학공원 주차장,대전광역시 유성구 가정동 39-2,36.3781979,127.3784688,30,대전광역시,30200,유성구,3020012600,가정동,3020055000,신성동
27,엑스포과학공원,대전광역시 유성구 도룡동 3-1,36.3773616,127.3843146,30,대전광역시,30200,유성구,3020012700,도룡동,3020055000,신성동
